SRC,Nuc.Model,Gamma.model,Revision,nCores,seed,model.LL
"ecoliSHORT","GTR","lognormal","744c6c8",1,5100,-10345.619
"ecoliSHORT","GTR","lognormal","744c6c8",1,5101,-10728.739
"ecoliSHORT","GTR","lognormal","744c6c8",1,5102,-11366.517
"ecoliSHORT","GTR","lognormal","744c6c8",1,5103,-11128.587
"ecoliSHORT","GTR","lognormal","744c6c8",1,5104,-11215.500
"ecoliSHORT","GTR","lognormal","744c6c8",1,5105,-10180.645
"ecoliSHORT","GTR","lognormal","744c6c8",1,5106,-10978.219
"ecoliSHORT","GTR","lognormal","744c6c8",1,5107,-10401.355
"ecoliSHORT","GTR","lognormal","744c6c8",1,5108,-10809.352
"ecoliSHORT","GTR","lognormal","744c6c8",1,5109,-11994.659
"ecoliSHORT","GTR","lognormal","744c6c8",1,5110,-11249.525
"ecoliSHORT","GTR","lognormal","744c6c8",1,5111,-10790.022
"ecoliSHORT","GTR","lognormal","744c6c8",1,5112,-10845.448
"ecoliSHORT","GTR","lognormal","744c6c8",1,5113,-10697.728
"ecoliSHORT","GTR","lognormal","744c6c8",1,5114,-10465.997
"ecoliSHORT","GTR","lognormal","744c6c8",1,5115,-10610.126
"ecoliSHORT","GTR","lognormal","744c6c8",1,5116,-10499.583
"ecoliSHORT","GTR","lognormal","744c6c8",1,5117,-10736.140
"ecoliSHORT","GTR","lognormal","744c6c8",1,5118,-10771.857
"ecoliSHORT","GTR","lognormal","744c6c8",1,5119,-11324.967
"ecoliSHORT","GTR","lognormal","744c6c8",1,5120,-10458.298
"ecoliSHORT","GTR","lognormal","744c6c8",1,5121,-10272.921
"ecoliSHORT","GTR","lognormal","744c6c8",1,5122,-10974.885
"ecoliSHORT","GTR","lognormal","744c6c8",1,5123,-10379.926
"ecoliSHORT","GTR","lognormal","744c6c8",1,5124,-10105.267
"ecoliSHORT","GTR","lognormal","744c6c8",1,5125,-11048.215
"ecoliSHORT","GTR","lognormal","744c6c8",1,5126,-11168.207
"ecoliSHORT","GTR","lognormal","744c6c8",1,5127,-10216.999
"ecoliSHORT","GTR","lognormal","744c6c8",1,5128,-10423.673
"ecoliSHORT","GTR","lognormal","744c6c8",1,5129,-10495.344
"ecoliSHORT","GTR","lognormal","dd94866",1,5100,-10345.619
"ecoliSHORT","GTR","lognormal","dd94866",1,5101,-10728.739
"ecoliSHORT","GTR","lognormal","dd94866",1,5102,-11366.517
"ecoliSHORT","GTR","lognormal","dd94866",1,5103,-11128.587
"ecoliSHORT","GTR","lognormal","dd94866",1,5104,-11215.500
"ecoliSHORT","GTR","lognormal","dd94866",1,5105,-10180.645
"ecoliSHORT","GTR","lognormal","dd94866",1,5106,-10978.219
"ecoliSHORT","GTR","lognormal","dd94866",1,5107,-10401.355
"ecoliSHORT","GTR","lognormal","dd94866",1,5108,-10809.352
"ecoliSHORT","GTR","lognormal","dd94866",1,5109,-11994.659
"ecoliSHORT","GTR","lognormal","dd94866",1,5110,-11249.525
"ecoliSHORT","GTR","lognormal","dd94866",1,5111,-10790.022
"ecoliSHORT","GTR","lognormal","dd94866",1,5112,-10845.448
"ecoliSHORT","GTR","lognormal","dd94866",1,5113,-10697.728
"ecoliSHORT","GTR","lognormal","dd94866",1,5114,-10465.997
"ecoliSHORT","GTR","lognormal","dd94866",1,5115,-10610.126
"ecoliSHORT","GTR","lognormal","dd94866",1,5116,-10499.583
"ecoliSHORT","GTR","lognormal","dd94866",1,5117,-10736.140
"ecoliSHORT","GTR","lognormal","dd94866",1,5118,-10771.857
"ecoliSHORT","GTR","lognormal","dd94866",1,5119,-11324.967
"ecoliSHORT","GTR","lognormal","dd94866",1,5120,-10458.298
"ecoliSHORT","GTR","lognormal","dd94866",1,5121,-10272.921
"ecoliSHORT","GTR","lognormal","dd94866",1,5122,-10974.885
"ecoliSHORT","GTR","lognormal","dd94866",1,5123,-10379.926
"ecoliSHORT","GTR","lognormal","dd94866",1,5124,-10105.267
"ecoliSHORT","GTR","lognormal","dd94866",1,5125,-11048.215
"ecoliSHORT","GTR","lognormal","dd94866",1,5126,-11168.207
"ecoliSHORT","GTR","lognormal","dd94866",1,5127,-10216.999
"ecoliSHORT","GTR","lognormal","dd94866",1,5128,-10423.673
"ecoliSHORT","GTR","lognormal","dd94866",1,5129,-10495.344
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5100,-10345.619
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5101,-10728.739
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5102,-11366.517
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5103,-11128.587
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5104,-11215.500
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5105,-10180.645
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5106,-10978.219
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5107,-10401.355
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5108,-10809.352
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5109,-11994.659
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5110,-11249.525
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5111,-10790.022
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5112,-10845.448
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5113,-10697.728
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5114,-10465.997
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5115,-10610.126
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5116,-10499.583
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5117,-10736.140
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5118,-10771.857
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5119,-11324.967
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5120,-10458.298
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5121,-10272.921
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5122,-10974.885
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5123,-10379.926
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5124,-10105.267
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5125,-11048.215
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5126,-11168.207
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5127,-10216.999
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5128,-10423.673
"ecoliSHORT","GTR","lognormal","v1.6.1-rc1",1,5129,-10495.344
"ecoliSHORT","GTR","median","744c6c8",1,5100,-10676.844
"ecoliSHORT","GTR","median","744c6c8",1,5101,-11070.671
"ecoliSHORT","GTR","median","744c6c8",1,5102,-11725.389
"ecoliSHORT","GTR","median","744c6c8",1,5103,-11485.056
"ecoliSHORT","GTR","median","744c6c8",1,5104,-11565.807
"ecoliSHORT","GTR","median","744c6c8",1,5105,-10509.428
"ecoliSHORT","GTR","median","744c6c8",1,5106,-11334.048
"ecoliSHORT","GTR","median","744c6c8",1,5107,-10741.342
"ecoliSHORT","GTR","median","744c6c8",1,5108,-11162.880
"ecoliSHORT","GTR","median","744c6c8",1,5109,-12357.580
"ecoliSHORT","GTR","median","744c6c8",1,5110,-11607.834
"ecoliSHORT","GTR","median","744c6c8",1,5111,-11136.529
"ecoliSHORT","GTR","median","744c6c8",1,5112,-11190.803
"ecoliSHORT","GTR","median","744c6c8",1,5113,-11051.260
"ecoliSHORT","GTR","median","744c6c8",1,5114,-10797.199
"ecoliSHORT","GTR","median","744c6c8",1,5115,-10954.308
"ecoliSHORT","GTR","median","744c6c8",1,5116,-10849.573
"ecoliSHORT","GTR","median","744c6c8",1,5117,-11082.715
"ecoliSHORT","GTR","median","744c6c8",1,5118,-11115.393
"ecoliSHORT","GTR","median","744c6c8",1,5119,-11674.362
"ecoliSHORT","GTR","median","744c6c8",1,5120,-10793.319
"ecoliSHORT","GTR","median","744c6c8",1,5121,-10622.480
"ecoliSHORT","GTR","median","744c6c8",1,5122,-11323.164
"ecoliSHORT","GTR","median","744c6c8",1,5123,-10720.451
"ecoliSHORT","GTR","median","744c6c8",1,5124,-10443.624
"ecoliSHORT","GTR","median","744c6c8",1,5125,-11397.521
"ecoliSHORT","GTR","median","744c6c8",1,5126,-11526.164
"ecoliSHORT","GTR","median","744c6c8",1,5127,-10551.030
"ecoliSHORT","GTR","median","744c6c8",1,5128,-10760.932
"ecoliSHORT","GTR","median","744c6c8",1,5129,-10844.062
"ecoliSHORT","GTR","median","dd94866",1,5100,-10676.844
"ecoliSHORT","GTR","median","dd94866",1,5101,-11070.671
"ecoliSHORT","GTR","median","dd94866",1,5102,-11725.389
"ecoliSHORT","GTR","median","dd94866",1,5103,-11485.056
"ecoliSHORT","GTR","median","dd94866",1,5104,-11565.807
"ecoliSHORT","GTR","median","dd94866",1,5105,-10509.428
"ecoliSHORT","GTR","median","dd94866",1,5106,-11334.048
"ecoliSHORT","GTR","median","dd94866",1,5107,-10741.342
"ecoliSHORT","GTR","median","dd94866",1,5108,-11162.880
"ecoliSHORT","GTR","median","dd94866",1,5109,-12357.580
"ecoliSHORT","GTR","median","dd94866",1,5110,-11607.834
"ecoliSHORT","GTR","median","dd94866",1,5111,-11136.529
"ecoliSHORT","GTR","median","dd94866",1,5112,-11190.803
"ecoliSHORT","GTR","median","dd94866",1,5113,-11051.260
"ecoliSHORT","GTR","median","dd94866",1,5114,-10797.199
"ecoliSHORT","GTR","median","dd94866",1,5115,-10954.308
"ecoliSHORT","GTR","median","dd94866",1,5116,-10849.573
"ecoliSHORT","GTR","median","dd94866",1,5117,-11082.715
"ecoliSHORT","GTR","median","dd94866",1,5118,-11115.393
"ecoliSHORT","GTR","median","dd94866",1,5119,-11674.362
"ecoliSHORT","GTR","median","dd94866",1,5120,-10793.319
"ecoliSHORT","GTR","median","dd94866",1,5121,-10622.480
"ecoliSHORT","GTR","median","dd94866",1,5122,-11323.164
"ecoliSHORT","GTR","median","dd94866",1,5123,-10720.451
"ecoliSHORT","GTR","median","dd94866",1,5124,-10443.624
"ecoliSHORT","GTR","median","dd94866",1,5125,-11397.521
"ecoliSHORT","GTR","median","dd94866",1,5126,-11526.164
"ecoliSHORT","GTR","median","dd94866",1,5127,-10551.030
"ecoliSHORT","GTR","median","dd94866",1,5128,-10760.932
"ecoliSHORT","GTR","median","dd94866",1,5129,-10844.062
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5100,-10676.844
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5101,-11070.671
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5102,-11725.389
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5103,-11485.056
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5104,-11565.807
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5105,-10509.428
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5106,-11334.048
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5107,-10741.342
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5108,-11162.880
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5109,-12357.580
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5110,-11607.834
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5111,-11136.529
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5112,-11190.803
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5113,-11051.260
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5114,-10797.199
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5115,-10954.308
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5116,-10849.573
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5117,-11082.715
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5118,-11115.393
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5119,-11674.362
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5120,-10793.319
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5121,-10622.480
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5122,-11323.164
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5123,-10720.451
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5124,-10443.624
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5125,-11397.521
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5126,-11526.164
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5127,-10551.030
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5128,-10760.932
"ecoliSHORT","GTR","median","v1.6.1-rc1",1,5129,-10844.062
"ecoliSHORT","GTR","none","38a4c36",1,5100,-11967.369
"ecoliSHORT","GTR","none","38a4c36",1,5101,-12434.518
"ecoliSHORT","GTR","none","38a4c36",1,5102,-13191.504
"ecoliSHORT","GTR","none","38a4c36",1,5103,-12922.686
"ecoliSHORT","GTR","none","38a4c36",1,5104,-13017.877
"ecoliSHORT","GTR","none","38a4c36",1,5105,-11773.977
"ecoliSHORT","GTR","none","38a4c36",1,5106,-12744.179
"ecoliSHORT","GTR","none","38a4c36",1,5107,-12055.611
"ecoliSHORT","GTR","none","38a4c36",1,5108,-12542.342
"ecoliSHORT","GTR","none","38a4c36",1,5109,-13935.853
"ecoliSHORT","GTR","none","38a4c36",1,5110,-13064.348
"ecoliSHORT","GTR","none","38a4c36",1,5111,-12510.703
"ecoliSHORT","GTR","none","38a4c36",1,5112,-12563.999
"ecoliSHORT","GTR","none","38a4c36",1,5113,-12410.039
"ecoliSHORT","GTR","none","38a4c36",1,5115,-12291.577
"ecoliSHORT","GTR","none","38a4c36",1,5116,-12177.277
"ecoliSHORT","GTR","none","744c6c8",1,5100,-11967.369
"ecoliSHORT","GTR","none","744c6c8",1,5101,-12434.518
"ecoliSHORT","GTR","none","744c6c8",1,5102,-13191.504
"ecoliSHORT","GTR","none","744c6c8",1,5103,-12922.686
"ecoliSHORT","GTR","none","744c6c8",1,5104,-13017.877
"ecoliSHORT","GTR","none","744c6c8",1,5105,-11773.977
"ecoliSHORT","GTR","none","744c6c8",1,5106,-12744.179
"ecoliSHORT","GTR","none","744c6c8",1,5107,-12055.611
"ecoliSHORT","GTR","none","744c6c8",1,5108,-12542.342
"ecoliSHORT","GTR","none","744c6c8",1,5109,-13935.853
"ecoliSHORT","GTR","none","744c6c8",1,5110,-13064.348
"ecoliSHORT","GTR","none","744c6c8",1,5111,-12510.703
"ecoliSHORT","GTR","none","744c6c8",1,5112,-12563.999
"ecoliSHORT","GTR","none","744c6c8",1,5113,-12410.039
"ecoliSHORT","GTR","none","744c6c8",1,5114,-12126.137
"ecoliSHORT","GTR","none","744c6c8",1,5115,-12291.577
"ecoliSHORT","GTR","none","744c6c8",1,5116,-12177.277
"ecoliSHORT","GTR","none","744c6c8",1,5117,-12451.050
"ecoliSHORT","GTR","none","744c6c8",1,5118,-12495.334
"ecoliSHORT","GTR","none","744c6c8",1,5119,-13139.757
"ecoliSHORT","GTR","none","744c6c8",1,5120,-12112.328
"ecoliSHORT","GTR","none","744c6c8",1,5121,-11905.721
"ecoliSHORT","GTR","none","744c6c8",1,5122,-12725.326
"ecoliSHORT","GTR","none","744c6c8",1,5123,-12019.914
"ecoliSHORT","GTR","none","744c6c8",1,5124,-11708.128
"ecoliSHORT","GTR","none","744c6c8",1,5125,-12824.227
"ecoliSHORT","GTR","none","744c6c8",1,5126,-12962.809
"ecoliSHORT","GTR","none","744c6c8",1,5127,-11833.274
"ecoliSHORT","GTR","none","744c6c8",1,5128,-12069.718
"ecoliSHORT","GTR","none","744c6c8",1,5129,-12174.453
"ecoliSHORT","GTR","none","d60d4c6",1,5100,-11967.368
"ecoliSHORT","GTR","none","d60d4c6",1,5101,-12434.518
"ecoliSHORT","GTR","none","d60d4c6",1,5102,-13191.504
"ecoliSHORT","GTR","none","d60d4c6",1,5103,-12922.679
"ecoliSHORT","GTR","none","d60d4c6",1,5104,-13017.877
"ecoliSHORT","GTR","none","d60d4c6",1,5105,-11773.978
"ecoliSHORT","GTR","none","d60d4c6",1,5106,-12744.179
"ecoliSHORT","GTR","none","d60d4c6",1,5107,-12055.609
"ecoliSHORT","GTR","none","d60d4c6",1,5108,-12542.342
"ecoliSHORT","GTR","none","d60d4c6",1,5109,-13935.853
"ecoliSHORT","GTR","none","d60d4c6",1,5110,-13064.348
"ecoliSHORT","GTR","none","d60d4c6",1,5111,-12510.698
"ecoliSHORT","GTR","none","d60d4c6",1,5112,-12563.997
"ecoliSHORT","GTR","none","d60d4c6",1,5113,-12410.037
"ecoliSHORT","GTR","none","d60d4c6",1,5115,-12291.577
"ecoliSHORT","GTR","none","d60d4c6",1,5116,-12177.277
"ecoliSHORT","GTR","none","dd94866",1,5100,-11967.369
"ecoliSHORT","GTR","none","dd94866",1,5101,-12434.518
"ecoliSHORT","GTR","none","dd94866",1,5102,-13191.504
"ecoliSHORT","GTR","none","dd94866",1,5103,-12922.686
"ecoliSHORT","GTR","none","dd94866",1,5104,-13017.877
"ecoliSHORT","GTR","none","dd94866",1,5105,-11773.977
"ecoliSHORT","GTR","none","dd94866",1,5106,-12744.179
"ecoliSHORT","GTR","none","dd94866",1,5107,-12055.611
"ecoliSHORT","GTR","none","dd94866",1,5108,-12542.342
"ecoliSHORT","GTR","none","dd94866",1,5109,-13935.853
"ecoliSHORT","GTR","none","dd94866",1,5110,-13064.348
"ecoliSHORT","GTR","none","dd94866",1,5111,-12510.703
"ecoliSHORT","GTR","none","dd94866",1,5112,-12563.999
"ecoliSHORT","GTR","none","dd94866",1,5113,-12410.039
"ecoliSHORT","GTR","none","dd94866",1,5114,-12126.137
"ecoliSHORT","GTR","none","dd94866",1,5115,-12291.577
"ecoliSHORT","GTR","none","dd94866",1,5116,-12177.277
"ecoliSHORT","GTR","none","dd94866",1,5117,-12451.050
"ecoliSHORT","GTR","none","dd94866",1,5118,-12495.334
"ecoliSHORT","GTR","none","dd94866",1,5119,-13139.757
"ecoliSHORT","GTR","none","dd94866",1,5120,-12112.328
"ecoliSHORT","GTR","none","dd94866",1,5121,-11905.721
"ecoliSHORT","GTR","none","dd94866",1,5122,-12725.326
"ecoliSHORT","GTR","none","dd94866",1,5123,-12019.914
"ecoliSHORT","GTR","none","dd94866",1,5124,-11708.128
"ecoliSHORT","GTR","none","dd94866",1,5125,-12824.227
"ecoliSHORT","GTR","none","dd94866",1,5126,-12962.809
"ecoliSHORT","GTR","none","dd94866",1,5127,-11833.274
"ecoliSHORT","GTR","none","dd94866",1,5128,-12069.718
"ecoliSHORT","GTR","none","dd94866",1,5129,-12174.453
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5100,-11967.369
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5101,-12434.518
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5102,-13191.504
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5103,-12922.686
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5104,-13017.877
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5105,-11773.977
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5106,-12744.179
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5107,-12055.611
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5108,-12542.342
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5109,-13935.853
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5110,-13064.348
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5111,-12510.703
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5112,-12563.999
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5113,-12410.039
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5114,-12126.137
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5115,-12291.577
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5116,-12177.277
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5117,-12451.050
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5118,-12495.334
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5119,-13139.757
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5120,-12112.328
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5121,-11905.721
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5122,-12725.326
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5123,-12019.914
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5124,-11708.128
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5125,-12824.227
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5126,-12962.809
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5127,-11833.274
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5128,-12069.718
"ecoliSHORT","GTR","none","v1.6.1-rc1",1,5129,-12174.453
"ecoliSHORT","GTR","quadrature","744c6c8",1,5000,-10643.115
"ecoliSHORT","GTR","quadrature","744c6c8",1,5100,-10521.858
"ecoliSHORT","GTR","quadrature","744c6c8",1,5101,-10898.912
"ecoliSHORT","GTR","quadrature","744c6c8",1,5102,-11520.515
"ecoliSHORT","GTR","quadrature","744c6c8",1,5103,-11288.386
"ecoliSHORT","GTR","quadrature","744c6c8",1,5104,-11357.854
"ecoliSHORT","GTR","quadrature","744c6c8",1,5105,-10348.711
"ecoliSHORT","GTR","quadrature","744c6c8",1,5106,-11144.776
"ecoliSHORT","GTR","quadrature","744c6c8",1,5107,-10573.275
"ecoliSHORT","GTR","quadrature","744c6c8",1,5108,-10974.636
"ecoliSHORT","GTR","quadrature","744c6c8",1,5109,-12121.754
"ecoliSHORT","GTR","quadrature","744c6c8",1,5110,-11403.711
"ecoliSHORT","GTR","quadrature","744c6c8",1,5111,-10954.373
"ecoliSHORT","GTR","quadrature","744c6c8",1,5112,-11010.402
"ecoliSHORT","GTR","quadrature","744c6c8",1,5113,-10875.524
"ecoliSHORT","GTR","quadrature","744c6c8",1,5114,-10628.425
"ecoliSHORT","GTR","quadrature","744c6c8",1,5115,-10788.030
"ecoliSHORT","GTR","quadrature","744c6c8",1,5116,-10675.278
"ecoliSHORT","GTR","quadrature","744c6c8",1,5117,-10909.448
"ecoliSHORT","GTR","quadrature","744c6c8",1,5118,-10932.944
"ecoliSHORT","GTR","quadrature","744c6c8",1,5119,-11464.010
"ecoliSHORT","GTR","quadrature","744c6c8",1,5120,-10624.722
"ecoliSHORT","GTR","quadrature","744c6c8",1,5121,-10458.046
"ecoliSHORT","GTR","quadrature","744c6c8",1,5122,-11134.304
"ecoliSHORT","GTR","quadrature","744c6c8",1,5123,-10554.300
"ecoliSHORT","GTR","quadrature","744c6c8",1,5124,-10289.088
"ecoliSHORT","GTR","quadrature","744c6c8",1,5125,-11206.721
"ecoliSHORT","GTR","quadrature","744c6c8",1,5126,-11330.397
"ecoliSHORT","GTR","quadrature","744c6c8",1,5127,-10394.544
"ecoliSHORT","GTR","quadrature","744c6c8",1,5128,-10589.636
"ecoliSHORT","GTR","quadrature","744c6c8",1,5129,-10676.532
"ecoliSHORT","GTR","quadrature","dd94866",1,5000,-10643.115
"ecoliSHORT","GTR","quadrature","dd94866",1,5100,-10521.858
"ecoliSHORT","GTR","quadrature","dd94866",1,5101,-10898.912
"ecoliSHORT","GTR","quadrature","dd94866",1,5102,-11520.515
"ecoliSHORT","GTR","quadrature","dd94866",1,5103,-11288.386
"ecoliSHORT","GTR","quadrature","dd94866",1,5104,-11357.854
"ecoliSHORT","GTR","quadrature","dd94866",1,5105,-10348.711
"ecoliSHORT","GTR","quadrature","dd94866",1,5106,-11144.776
"ecoliSHORT","GTR","quadrature","dd94866",1,5107,-10573.275
"ecoliSHORT","GTR","quadrature","dd94866",1,5108,-10974.636
"ecoliSHORT","GTR","quadrature","dd94866",1,5109,-12121.754
"ecoliSHORT","GTR","quadrature","dd94866",1,5110,-11403.711
"ecoliSHORT","GTR","quadrature","dd94866",1,5111,-10954.373
"ecoliSHORT","GTR","quadrature","dd94866",1,5112,-11010.402
"ecoliSHORT","GTR","quadrature","dd94866",1,5113,-10875.524
"ecoliSHORT","GTR","quadrature","dd94866",1,5114,-10628.425
"ecoliSHORT","GTR","quadrature","dd94866",1,5115,-10788.030
"ecoliSHORT","GTR","quadrature","dd94866",1,5116,-10675.278
"ecoliSHORT","GTR","quadrature","dd94866",1,5117,-10909.448
"ecoliSHORT","GTR","quadrature","dd94866",1,5118,-10932.944
"ecoliSHORT","GTR","quadrature","dd94866",1,5119,-11464.010
"ecoliSHORT","GTR","quadrature","dd94866",1,5120,-10624.722
"ecoliSHORT","GTR","quadrature","dd94866",1,5121,-10458.046
"ecoliSHORT","GTR","quadrature","dd94866",1,5122,-11134.304
"ecoliSHORT","GTR","quadrature","dd94866",1,5123,-10554.300
"ecoliSHORT","GTR","quadrature","dd94866",1,5124,-10289.088
"ecoliSHORT","GTR","quadrature","dd94866",1,5125,-11206.721
"ecoliSHORT","GTR","quadrature","dd94866",1,5126,-11330.397
"ecoliSHORT","GTR","quadrature","dd94866",1,5127,-10394.544
"ecoliSHORT","GTR","quadrature","dd94866",1,5128,-10589.636
"ecoliSHORT","GTR","quadrature","dd94866",1,5129,-10676.532
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5000,-10643.115
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5100,-10521.858
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5101,-10898.912
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5102,-11520.515
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5103,-11288.386
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5104,-11357.854
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5105,-10348.711
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5106,-11144.776
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5107,-10573.275
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5108,-10974.636
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5109,-12121.754
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5110,-11403.711
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5111,-10954.373
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5112,-11010.402
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5113,-10875.524
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5114,-10628.425
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5115,-10788.030
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5116,-10675.278
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5117,-10909.448
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5118,-10932.944
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5119,-11464.010
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5120,-10624.722
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5121,-10458.046
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5122,-11134.304
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5123,-10554.300
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5124,-10289.088
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5125,-11206.721
"ecoliSHORT","GTR","quadrature","v1.6.1-rc1",1,5126,-11330.397
